def(TFTPOMATIC_SUPPORT),def(BOOTLOADER_SUPPORT)
(def(ZBUS_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),True
True,!def(UIP_CONF_EXTERNAL_BUFFER)
True,def(ECMD_PARSER_SUPPORT)
def(MODBUS_CLIENT_SUPPORT),def(PS2_SUPPORT)
def(MDNS_SD_SUPPORT),True
def(I2C_LM75_SUPPORT),def(I2C_MASTER_SUPPORT)
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),def(PS2_SUPPORT)
def(RC4_SUPPORT),True
def(TEENSY_SUPPORT),True
def(BOOTP_SUPPORT),def(DNS_SUPPORT)
def(DYNDNS_SUPPORT),def(DNS_SUPPORT)
def(RFM12_RAW_SUPPORT),(!def(RFM12_RAW_SUPPORT)&def(SKIPJACK_SUPPORT))
(def(RC4_SUPPORT)&def(AUTH_SUPPORT)),def(RC4_SUPPORT)
(def(MCUF_SUPPORT)&!def(MCUF_SERIAL_SUPPORT)&def(MCUF_CLOCK_SUPPORT)&(!def(MCUF_SCROLLTEXT_SUPPORT)|!def(MCUF_CLOCK_SUPPORT))),True
def(I2C_UDP_SUPPORT),True
def(MODBUS_SUPPORT),True
(def(USB_NET_SUPPORT)&def(USB_SUPPORT)),def(USB_NET_SUPPORT)
True,def(I2C_MASTER_SUPPORT)
def(NTP_SUPPORT),True
def(MODBUS_SUPPORT),def(PS2_SUPPORT)
def(I2C_DETECT_SUPPORT),def(I2C_MASTER_SUPPORT)
True,def(VFS_SUPPORT)
(def(MODBUS_CLIENT_SUPPORT)&def(MODBUS_SUPPORT)),def(MODBUS_CLIENT_SUPPORT)
(def(STELLA_RESPONSE_ACK)&def(STELLA_SUPPORT)),True
(def(RC4_SUPPORT)&def(AUTH_SUPPORT)),True
def(I2C_PCA9531_SUPPORT),def(I2C_MASTER_SUPPORT)
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),True
def(ECMD_SUPPORT),True
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)&def(ECMD_PARSER_SUPPORT)),(!def(DEBUG_USE_SYSLOG)&def(DEBUG))
def(MODBUS_CLIENT_SUPPORT),(def(MODBUS_CLIENT_SUPPORT)&def(MODBUS_SUPPORT))
(def(MCUF_SUPPORT)&!def(MCUF_SERIAL_SUPPORT)&def(MCUF_SCROLLTEXT_SUPPORT)),def(MCUF_SUPPORT)
(def(SKIPJACK_SUPPORT)&!def(ZBUS_RAW_SUPPORT)),True
def(MODBUS_CLIENT_SUPPORT),def(MODBUS_SUPPORT)
def(MDNS_SD_SUPPORT),def(SENSOR_RFM12_SUPPORT)
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)&def(ECMD_PARSER_SUPPORT)),True
def(SENSOR_RFM12_SUPPORT),True
def(SENSOR_RFM12_SUPPORT),!def(HD44780_SUPPORT)
(def(NAMED_PIN_SUPPORT)&def(PORTIO_SUPPORT)),def(PORTIO_SUPPORT)
def(I2C_24CXX_SUPPORT),True
True,(def(SKIPJACK_SUPPORT)&!def(ZBUS_RAW_SUPPORT))
def(MODBUS_SUPPORT),(def(MODBUS_CLIENT_SUPPORT)&def(MODBUS_SUPPORT))
def(USB_NET_SUPPORT),def(PS2_SUPPORT)
def(SKIPJACK_SUPPORT),True
True,def(MCUF_SUPPORT)
!def(TEENSY_SUPPORT),True
