!def(DEBUG_USE_SYSLOG),def(PS2_SUPPORT)
!def(CRON_DEFAULT_UTC),True
(((def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT))|(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT))|def(MCUF_MODUL_SUPPORT))&(!def(MCUF_MODUL_BORG16_SUPPORT)|!def(MCUF_MODUL_SUPPORT))&((def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT))|(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT)))&def(MCUF_MODUL_SUPPORT)&def(MCUF_SPIRAL_SUPPORT)&def(MCUF_CLEAN_SUPPORT)),(def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT)&(!def(MCUF_CLEAN_SUPPORT)|!def(MCUF_MODUL_SUPPORT)))
True,def(LCD_DRAWBITMAP_USED)
def(I2C_MAX7311_SUPPORT),True
def(MODBUS_CLIENT_SUPPORT),True
(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(USB_KEYBOARD_SUPPORT)
(def(ZBUS_RAW_SUPPORT)&def(ROUTER_SUPPORT)),True
!def(IPV6_STATIC_SUPPORT),def(TFTPOMATIC_SUPPORT)
def(HD44780_MULTIENSUPPORT),True
(!def(SOFT_UART_SUPPORT)&!def(DEBUG_USE_SYSLOG)),True
True,!def(DISABLE_IPCONF_SUPPORT)
True,!def(MDNS_SD_SUPPORT)
def(I2C_LM75_SUPPORT),True
def(SRAM_MEMTEST_ON_BOOT),True
def(DEBUG),(def(LARGESCREEN)&def(DEBUG))
!def(DEBUG),def(DEBUG)
def(TEENSY_SUPPORT),True
(def(ROUTER_SUPPORT)&def(USB_NET_SUPPORT)),def(USB_NET_SUPPORT)
!def(MDNS_SD_SUPPORT),def(ETHERNET_SUPPORT)
!def(IPV6_STATIC_SUPPORT),def(ETHERNET_SUPPORT)
True,!def(GUI_SUPPORT)
!def(DNS_SUPPORT),True
def(MCUF_CLEAN_SUPPORT),True
(!def(RFM12_IP_SUPPORT)&def(CONF_RFM12B_SUPPORT)),True
True,def(DEBUG)
(def(USB_MOUSE_SEQUENCE_SUPPORT)&def(USB_MOUSE_SUPPORT)),def(USB_MOUSE_SUPPORT)
def(GLCDMENU_S1D13305),True
def(HTTP_SD_DIR_SUPPORT),True
(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)),(def(TEENSY_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT))
def(ECMD_USB_SUPPORT),True
def(HD44780_READBACK),True
def(USB_KEYBOARD_SUPPORT),def(PS2_SUPPORT)
True,!def(DNS_SUPPORT)
(def(USB_HID_KEYBOARD_ECMD_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(PS2_SUPPORT)
def(MCUF_CHESS_SUPPORT),True
(def(ZBUS_RAW_SUPPORT)&def(ROUTER_SUPPORT)),def(ROUTER_SUPPORT)
(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)),(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)&def(TEENSY_SUPPORT))
def(CRON_DEFAULT_UTC),True
def(DC3840_UDP_DEBUG),def(ROUTER_SUPPORT)
def(I2C_PCA9531_SUPPORT),True
True,!def(DEBUG_USE_SYSLOG)
(def(ROUTER_SUPPORT)&def(IP_FORWARDING_SUPPORT)),def(ROUTER_SUPPORT)
(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT)&((def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT))|(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT)))),def(MCUF_CLEAN_SUPPORT)
def(PS2_SUPPORT),def(USB_KEYBOARD_SUPPORT)
True,def(GLCDMENU_S1D13305)
!def(IPV6_SUPPORT),True
def(USB_NET_SUPPORT),def(ROUTER_SUPPORT)
