!def(WIN32),def(ENABLE_SM)
def(RANDOM_POOL),True
def(ENABLE_SM),!def(HAVE_STRLCPY)
True,def(ENABLE_SM)
!def(HAVE_GETPASS),True
def(ENABLE_ZLIB),!def(HAVE_STRLCPY)
True,(def(ENABLE_OPENSSL)&def(ENABLE_SM))
True,!def(HAVE_STRLCAT)
True,def(ENABLE_OPENSSL)
True,def(WIN32)
True,def(ENABLE_PCSC)
def(SET_SM_BYTES),True
def(ENABLE_PCSC),True
True,(!def(HAVE_GETPASS)&!def(_WIN32))
def(_WIN32),True
True,def(USE_PKCS15_INIT)
True,!def(HAVE_GETPASS)
def(INVALIDATE_CARD_CACHE_IN_UNLOCK),True
True,def(ENABLE_ZLIB)
def(ENABLE_SM),!def(ENABLE_SM)
True,def(asepcos_USE_PIN_PATH)
def(ENABLE_OPENSSL),True
def(OPENSC_CONFIG_STRING),True
def(USE_PKCS15_INIT),True
True,def(OPENSC_CONFIG_STRING)
!def(ENABLE_SM),def(ENABLE_SM)
def(_WIN32),(!def(HAVE_GETPASS)&!def(_WIN32))
(def(ENABLE_OPENSSL)&def(ENABLE_SM)),True
def(HAVE_USBTOKEN),True
def(ENABLE_SM),def(ENABLE_OPENSSL)
def(ENABLE_ZLIB),True
!def(ENABLE_OPENSSL),True
def(DEBUG_PROFILE),True
!def(HAVE_STRLCPY),True
True,!def(HAVE_STRLCPY)
True,!def(WIN32)
!def(HAVE_GETPASS),(!def(HAVE_GETPASS)&!def(_WIN32))
True,!def(ENABLE_SM)
def(ENABLE_SM),!def(WIN32)
def(DEBUG),True
def(FORCE_VERIFY_RUTOKEN),True
True,def(FORCE_VERIFY_RUTOKEN)
True,def(_WIN32)
!def(ENABLE_SM),True
!def(WIN32),True
